"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
10.05,27/02/2019
107.50,28/08/2015
52.67,31/12/2015
2.89,03/06/2016
21.27,19/12/2022
4.08,01/05/2015
27.52,04/01/2021
0.66,29/11/2018
11.37,30/06/2015
30.94,29/03/2019
14.79,19/08/2022
33.37,13/12/2022
38.91,16/01/2018
105.65,26/02/2018
102.80,06/12/2019
470.00,02/12/2019
"2,632.13",30/05/2017
36.00,31/03/2018
34.35,28/06/2019
89.39,01/03/2017
28.85,28/02/2019
10.29,22/12/2017
1.76,07/09/2016
0.92,30/03/2018
18.26,27/03/2015
0.98,31/12/2021
"5,131.53",01/04/2019
0.05,18/04/2016
763.15,01/05/2018
2.73,19/12/2016
0.29,28/10/2015
55.10,25/10/2019
"1,400.00",18/03/2016
5.22,30/09/2021
85.20,06/04/2016
0.59,21/12/2018
"3,516.30",03/06/2021
"1,500.00",29/09/2021
0.00,23/03/2019
6.43,15/12/2015
0.21,06/04/2017
463.24,16/04/2021
1.80,06/01/2022
2.24,27/04/2017
0.16,01/08/2016
27.95,05/04/2018
32.00,01/03/2022
1.59,12/06/2018
0.07,07/01/2022
0.03,30/11/2019
0.01,20/04/2015
4.07,02/07/2021
50.17,29/04/2019
0.02,05/11/2017
35.36,31/08/2015
35.00,12/04/2018
3.18,04/07/2016
142.19,01/12/2015
1.21,04/03/2016
10.53,16/04/2021
0.94,16/12/2016
11.27,26/05/2015
2.40,01/07/2017
0.00,31/05/2016
0.00,30/06/2015
0.00,31/05/2016
0.00,30/06/2015
0.00,31/05/2016
0.00,30/06/2015
0.00,30/06/2015
0.29,10/05/2017
1.28,06/05/2020
2.55,16/07/2019
27.15,02/10/2022
0.05,09/03/2015
173.10,31/10/2017
40.20,28/07/2017
6.40,04/01/2019
163.18,10/02/2017
1.50,15/11/2018
201.60,01/03/2017
387.28,01/12/2015
0.77,15/11/2016
32.93,11/06/2018
0.95,19/05/2017
0.09,16/10/2020
1.14,01/05/2019
2.27,06/01/2022
37.06,25/11/2021
5.22,04/12/2020
3.52,01/10/2017
351.86,31/10/2016
1.96,08/05/2021
325.00,31/03/2018
0.30,31/08/2015
0.03,23/02/2018
0.02,03/10/2016
4.84,01/10/2018
175.48,06/12/2018
1.50,15/09/2021
0.03,04/08/2017
0.10,31/10/2020
15.64,18/10/2022
211.49,16/05/2016
0.00,31/12/2016
2.61,22/05/2015
9.05,17/11/2017
5.71,31/12/2020
"1,768.75",25/07/2016
0.80,26/07/2016
4.50,31/03/2017
3.62,05/11/2015
0.45,16/01/2020
6.17,14/01/2016
10.47,10/08/2016
66.22,24/02/2016
21.41,18/12/2021
0.09,27/08/2020
2.49,04/02/2021
19.33,14/04/2015
283.72,04/11/2015
1.61,12/04/2015
4.01,21/04/2015
0.94,09/04/2015
3.42,26/01/2016
10.34,01/02/2016
1.70,31/10/2017
5.83,24/08/2022
4.87,05/05/2015
4.67,31/07/2015
1.13,01/07/2015
6.91,07/04/2016
"1,233.38",11/01/2019
31.36,13/03/2017
53.61,28/03/2017
5.52,28/03/2017
461.54,20/11/2017
15.71,13/03/2017
148.87,01/03/2017
11.85,01/04/2017
436.71,26/10/2017
0.00,18/07/2017
0.89,10/11/2020
23.74,31/05/2021
16.37,29/12/2017
0.75,30/09/2016
1.74,31/07/2015
92.31,12/05/2016
81.31,13/04/2021
58.87,09/12/2016
3.28,09/12/2016
4.42,06/09/2016
186.24,09/07/2020
1.26,01/02/2018
3.67,21/09/2016
9.13,16/01/2020
144.24,08/02/2018
1.72,27/12/2022
30.73,01/08/2016
71.72,19/06/2018
59.17,15/01/2019
9.39,02/01/2015
0.30,07/03/2019
1.48,29/01/2015
0.21,16/05/2020
91.47,27/12/2019
4.45,18/07/2017
17.45,23/08/2018
0.85,31/08/2016
0.73,20/12/2019
0.56,24/09/2016
1.78,19/07/2019
4.11,09/10/2017
163.49,15/12/2017
86.08,26/08/2020
38.14,09/04/2020
7.83,31/12/2015
134.10,31/05/2021
4.36,31/07/2016
12.00,23/07/2015
32.56,09/01/2019
0.78,09/07/2015
26.89,29/11/2016
53.98,22/04/2020
39.66,18/04/2018
4.27,19/07/2016
7.25,06/05/2016
2.90,14/04/2016
5.00,28/03/2016
3.48,14/04/2016
2.02,25/04/2017
0.93,26/12/2016
27.70,22/12/2017
133.26,11/02/2020
31.66,30/06/2017
68.61,31/12/2015
38.08,27/12/2019
8.16,08/01/2021
44.46,27/07/2018
6.23,30/12/2018
181.76,30/04/2019
146.07,14/11/2016
7.51,03/04/2020
1.28,24/04/2015
119.77,09/10/2015
3.48,11/04/2016
27.59,27/03/2018
251.55,31/12/2015
0.04,29/06/2015
0.14,29/04/2015
1.23,25/08/2016
1.88,26/09/2016
0.28,31/10/2022
9.89,30/06/2019
0.46,05/05/2016
0.32,16/03/2018
1.12,28/02/2015
44.06,10/02/2022
5.06,04/04/2018
NA,25/04/2019
0.75,28/06/2022
30.21,28/09/2017
35.16,14/12/2021
1.54,31/10/2015
16.01,14/10/2020
6.00,04/08/2017
65.28,06/04/2017
0.89,02/02/2015
343.06,24/11/2022
1.31,31/12/2017
10.52,12/03/2015
36.97,09/05/2017
3.47,30/08/2022
1.47,28/04/2015
290.13,14/08/2015
1.54,27/07/2015
45.48,23/05/2022
1.61,30/07/2015
10.27,27/09/2021
4.58,19/12/2016
0.18,24/11/2016
0.80,29/01/2015
219.84,17/10/2016
15.67,02/06/2021
4.93,30/09/2021
36.32,06/02/2022
0.31,30/11/2015
0.08,01/01/2019
3.15,02/03/2015
0.60,31/12/2020
6.08,08/02/2018
3.71,26/12/2015
0.30,29/10/2020
0.45,26/08/2016
7.74,14/06/2016
0.81,09/06/2015
0.79,09/06/2015
6.01,30/06/2018
42.31,02/06/2021
108.48,20/10/2018
3.62,30/04/2021
0.04,25/12/2017
47.38,09/04/2020
36.29,29/11/2016
23.15,03/04/2016
0.59,20/07/2017
18.38,02/02/2016
4.97,14/09/2021
0.31,08/12/2015
1.62,29/10/2015
8.96,08/12/2015
28.70,08/12/2015
8.11,04/09/2018
2.33,29/08/2017
93.73,28/11/2019
115.51,06/11/2018
6.43,24/02/2021
1.40,23/09/2016
7.75,08/10/2016
231.25,18/09/2017
4.03,31/12/2017
14.23,22/06/2022
1.88,29/11/2022
21.21,23/09/2022
0.31,28/08/2015
7.62,07/07/2016
19.11,27/10/2017
0.15,11/03/2018
8.20,25/06/2019
6.41,26/10/2017
44.71,12/01/2018
10.87,31/10/2015
42.21,31/08/2017
0.05,10/01/2017
0.27,25/01/2016
0.13,29/06/2021
5.38,05/02/2015
150.07,31/12/2016
9.47,21/12/2016
6.02,15/08/2019
1.29,08/04/2019
1.65,08/09/2021
9.34,08/09/2021
29.06,02/01/2020
101.02,03/04/2017
7.94,12/07/2021
0.55,19/02/2015
85.97,17/08/2016
929.65,23/03/2021
622.99,31/03/2022
0.05,09/10/2018
492.21,09/10/2015
109.79,26/09/2015
164.65,21/12/2016
5.94,01/08/2018
0.00,31/03/2016
15.86,31/03/2017
17.23,27/03/2020
0.32,20/11/2018
0.63,20/11/2018
0.13,20/11/2018
1.01,29/08/2016
0.09,08/05/2017
0.27,30/04/2021
0.78,29/05/2015
10.66,31/07/2018
27.84,31/05/2017
13.93,28/12/2018
7.27,16/09/2020
15.18,25/04/2017
43.97,11/05/2018
1.62,31/12/2017
99.44,25/12/2020
4.90,04/01/2019
1.95,01/01/2017
1.11,30/11/2017
87.01,11/05/2018
3.96,31/12/2017
16.68,08/03/2016
91.18,21/01/2016
0.05,05/07/2017
0.61,21/03/2022
0.01,27/08/2021
1.57,12/11/2019
1.46,04/09/2020
0.26,23/12/2017
0.00,04/09/2020
2.37,10/12/2020
11.61,30/03/2017
1.41,31/12/2018
184.83,30/11/2015
5.63,20/12/2021
19.48,20/01/2022
159.61,08/11/2021
2.78,08/10/2019
25.58,02/11/2015
45.67,18/05/2018
0.33,06/07/2017
18.14,18/05/2018
15.95,18/05/2018
0.00,27/03/2017
2.86,25/10/2016
0.48,30/09/2015
1.42,06/05/2015
8.19,21/03/2016
2.45,23/02/2016
0.00,14/12/2016
0.00,30/12/2016
0.09,23/10/2017
0.50,04/12/2015
2.25,30/09/2021
3.47,25/11/2021
27.33,22/09/2017
8.83,02/01/2019
0.47,03/12/2019
8.49,29/09/2016
0.93,13/07/2018
2.20,14/03/2018
2.08,09/05/2018
0.29,21/04/2021
3.36,05/02/2019
33.93,13/01/2016
27.20,31/08/2018
3.18,08/11/2018
0.00,01/03/2019
4.74,31/07/2017
0.31,04/05/2016
0.31,04/05/2015
7.91,13/10/2015
7.86,08/10/2015
4.88,24/08/2020
2.27,01/07/2018
31.50,15/04/2015
12.00,04/03/2019
2.96,14/04/2020
3.68,13/10/2016
3.61,31/10/2018
237.90,01/06/2019
5.15,29/03/2019
47.49,09/09/2016
72.22,27/12/2018
20.06,26/09/2018
3.99,10/01/2022
2.13,11/04/2016
2.86,30/09/2017
0.30,19/03/2019
162.29,15/11/2021
1.07,29/02/2016
3.09,27/02/2018
0.05,18/04/2019
0.09,18/04/2019
3.13,31/01/2018
5.46,16/07/2015
7.00,28/09/2018
12.29,31/03/2015
13.71,21/01/2021
50.00,02/12/2021
0.10,22/11/2017
0.83,23/11/2017
157.74,31/03/2015
541.00,27/07/2018
30.19,01/10/2019
12.69,10/02/2016
1.70,28/02/2017
1.75,07/05/2015
186.00,05/03/2015
0.75,14/01/2016
43.93,30/06/2016
6.88,15/05/2020
6.06,28/03/2016
5.93,25/11/2016
12.58,13/06/2017
1.43,31/10/2016
313.97,01/04/2021
0.02,18/11/2016
68.31,15/09/2021
"3,102.53",15/12/2015
6.80,27/11/2018
3.14,31/07/2019
52.90,19/01/2021
17.14,17/01/2018
0.01,27/04/2020
0.82,01/03/2017
3.22,01/04/2020
6.94,30/04/2020
74.60,01/01/2019
0.40,01/06/2015
0.26,29/03/2019
6.23,10/02/2017
34.47,26/01/2017
21.54,17/01/2017
628.92,31/12/2015
7.49,09/09/2015
1.50,01/03/2016
18.55,07/02/2022
20.00,21/09/2021
1.92,06/07/2017
170.00,24/06/2016
"3,187.93",01/10/2016
2.58,13/05/2020
7.06,23/07/2021
7.52,09/01/2017
980.00,04/10/2016
6.90,15/04/2021
8.41,12/10/2020
0.04,20/06/2017
0.07,17/10/2017
1.29,03/11/2021
154.80,29/03/2017
41.10,30/04/2016
7.08,19/01/2022
7.17,29/12/2020
0.02,30/10/2015
23.68,26/12/2016
210.57,26/04/2018
31.69,25/07/2019
0.14,11/03/2016
0.58,10/08/2017
0.57,09/10/2016
0.15,25/11/2015
81.12,24/04/2018
29.62,29/04/2019
5.58,27/04/2018
11.22,08/04/2015
133.76,20/10/2016
9.34,20/10/2016
7.00,17/07/2015
0.81,04/03/2016
0.30,07/10/2016
0.47,26/02/2016
1.16,23/10/2015
4.64,30/10/2015
0.19,16/09/2016
8.86,26/05/2016
5.98,22/11/2016
9.01,09/12/2015
0.14,07/10/2016
0.02,23/09/2016
0.00,25/03/2016
0.03,16/10/2015
0.80,30/11/2016
20.24,29/05/2019
19.01,01/04/2021
4.60,06/11/2019
6.95,10/12/2015
4.57,26/10/2015
"8,990.45",28/07/2018
0.41,16/06/2016
81.90,30/11/2022
25.82,31/12/2017
5.41,04/03/2019
465.31,19/09/2017
51.00,31/01/2015
15.94,22/05/2015
0.99,29/11/2018
0.00,06/03/2015
9.96,11/01/2022
56.44,01/12/2017
1.95,16/01/2020
3.22,23/03/2017
98.49,29/12/2020
0.00,12/06/2015
15.85,31/01/2016
0.48,09/11/2016
7.83,13/04/2015
2.61,01/04/2016
0.27,05/04/2017
43.85,03/02/2015
0.85,09/05/2016
77.55,30/11/2022
67.10,16/07/2019
0.00,24/11/2017
7.52,02/07/2015
54.62,01/04/2017
0.53,22/06/2018
"1,235.20",07/06/2021
315.00,30/04/2015
200.00,26/04/2017
4.04,01/09/2016
318.50,01/07/2020
13.29,28/09/2018
49.15,04/03/2022
0.30,30/06/2015
18.00,05/05/2017
3.03,23/01/2020
NA,18/01/2022
0.13,30/11/2016
0.76,29/09/2016
5.74,21/09/2021
0.33,04/05/2021
0.76,31/03/2015
0.82,01/09/2016
8.27,23/02/2022
0.65,01/06/2020
10.52,01/10/2018
0.24,09/01/2015
3.72,24/03/2017
3.72,24/03/2017
3.53,26/09/2018
0.59,31/07/2015
2.62,09/02/2015
0.93,28/04/2021
15.38,18/01/2019
12.77,12/01/2017
3.49,23/10/2017
188.00,15/10/2021
16.79,14/09/2022
8.45,18/07/2018
6.00,30/09/2020
9.65,30/06/2020
652.00,13/06/2019
3.52,18/10/2017
61.92,03/05/2016
16.69,11/07/2016
55.20,10/11/2020
281.54,08/06/2015
14.01,01/07/2019
68.28,12/08/2015
4.02,05/04/2017
0.76,07/01/2018
28.12,15/05/2020
1.05,28/04/2022
1.36,21/10/2019
7.00,09/03/2018
11.90,03/11/2017
114.98,09/01/2018
313.07,01/04/2016
9.56,08/08/2016
570.55,14/03/2018
46.16,13/02/2018
218.55,10/10/2017
246.23,22/11/2019
411.12,22/11/2019
0.00,28/10/2015
0.00,31/08/2016
131.90,31/12/2017
0.15,29/12/2021
5.00,28/02/2017
0.26,09/09/2021
3.50,10/08/2022
342.00,19/10/2018
7.97,23/08/2019
1.34,23/06/2022
12.66,10/10/2019
7.70,01/02/2022
4.31,31/12/2017
0.00,30/09/2015
15.73,14/08/2020
7.54,01/10/2020
27.37,28/06/2019
19.60,29/09/2016
30.36,12/02/2019
165.16,09/12/2020
881.24,01/04/2021
48.37,04/05/2018
512.62,01/02/2016
0.50,28/12/2021
7.88,19/05/2022
1.30,08/04/2015
0.48,26/06/2018
13.20,01/07/2016
0.21,15/10/2021
1.50,25/05/2018
84.43,31/01/2017
91.00,01/07/2015
0.46,30/06/2016
73.40,29/11/2021
7.14,25/09/2019
24.06,29/06/2017
16.08,13/02/2019
8.28,17/01/2018
2.64,12/01/2017
46.40,29/10/2018
5.79,12/11/2020
29.40,08/04/2022
3.76,21/12/2016
82.34,23/08/2021
14.55,31/03/2015
132.17,01/10/2020
0.13,04/02/2015
197.63,23/09/2019
260.20,22/05/2018
0.00,30/03/2015
14.00,01/01/2015
54.00,29/08/2019
0.52,12/06/2019
150.00,25/09/2020
37.90,31/12/2018
62.00,15/08/2017
94.70,24/02/2016
11.94,30/04/2015
5.09,26/03/2021
0.00,21/04/2022
29.80,07/06/2017
0.00,31/05/2016
2.79,04/10/2022
2.16,27/03/2018
424.58,14/05/2018
3.89,23/10/2015
17.39,24/03/2015
70.00,03/07/2019
361.80,26/07/2022
4.59,04/11/2021
146.55,12/05/2017
0.02,20/04/2018
"1,071.16",12/05/2017
200.44,23/11/2015
109.25,07/07/2017
NA,30/12/2016
23.30,29/12/2022
8.21,21/01/2016
9.23,12/12/2017
60.00,03/12/2018
160.19,09/07/2018
4.02,06/07/2020
14.60,06/08/2019
0.69,21/08/2018
55.13,18/10/2019
93.16,30/04/2015
"1,419.68",20/07/2017
1.65,29/06/2018
1.43,12/12/2018
23.43,10/12/2020
30.00,01/04/2016
9.37,19/07/2019
13.16,06/07/2015
251.86,27/07/2022
12.18,03/12/2019
23.00,28/02/2017
59.34,31/12/2020
620.90,05/10/2016
0.40,27/03/2020
1.00,12/04/2018
30.99,02/10/2019
0.41,20/03/2020
0.13,15/09/2015
62.06,09/09/2022
9.22,01/12/2021
6.86,31/03/2016
221.03,01/06/2022
0.65,30/09/2021
9.42,28/02/2019
238.65,30/06/2017
3.00,01/04/2020
37.44,31/05/2016
7.05,08/06/2015
2.33,27/07/2017
14.75,21/06/2017
24.50,07/10/2022
5.47,23/05/2022
1.10,07/01/2015
0.78,23/12/2022
70.00,01/12/2015
22.60,16/11/2022
550.00,08/04/2018
5.50,17/09/2018
"2,224.63",25/11/2020
"1,428.00",01/10/2021
801.60,14/09/2022
256.45,30/01/2015
19.29,31/05/2016
260.00,15/12/2022
34.30,01/04/2015
233.34,31/05/2021
18.71,01/04/2015
19.00,06/10/2016
19.88,19/06/2017
461.86,03/04/2018
28.22,01/07/2016
278.31,21/11/2019
124.46,21/07/2017
7.63,18/05/2016
29.51,30/06/2016
26.24,02/02/2022
0.86,31/03/2019
2.24,01/12/2017
11.01,15/10/2021
221.20,31/05/2018
210.00,04/10/2022
57.20,02/08/2020
12.20,15/10/2015
8.23,31/08/2018
4.63,21/08/2019
1.58,25/03/2015
15.00,25/08/2015
144.79,01/07/2022
0.34,02/05/2016
275.06,03/08/2017
1.30,08/05/2019
0.79,17/11/2015
0.13,12/10/2015
18.16,14/09/2021
6.16,03/11/2021
20.11,22/02/2018
5.97,02/03/2015
21.40,30/11/2015
0.87,17/02/2020
9.14,20/09/2016
36.73,31/12/2015
2.57,13/08/2015
10.95,12/07/2016
20.20,01/04/2017
0.75,21/07/2016
8.60,30/03/2018
57.40,01/04/2016
0.16,13/06/2020
0.14,27/02/2015
0.00,01/10/2018
0.01,21/08/2020
12.27,11/03/2015
0.68,04/01/2018
0.34,30/01/2018
0.63,18/01/2017
0.31,24/03/2016
0.58,17/10/2017
71.45,30/10/2015
20.21,27/07/2016
18.51,09/01/2018
17.20,04/10/2021
303.53,01/09/2018
0.01,30/11/2017
25.36,25/12/2016
0.28,31/03/2019
6.75,01/09/2016
4.10,20/05/2022
0.13,10/04/2018
0.11,19/09/2019
0.45,18/12/2015
5.69,30/10/2018
0.30,25/10/2019
0.37,13/01/2017
3.27,27/07/2017
"3,049.95",05/11/2021
11.36,26/04/2021
6.11,01/09/2021
0.00,27/06/2018
14.36,01/12/2021
NA,04/03/2019
2.68,31/03/2017
34.45,22/01/2015
4.45,30/09/2018
0.45,02/04/2016
78.09,07/02/2020
0.45,31/03/2016
0.12,04/06/2020
0.45,02/04/2016
1.68,27/05/2016
1.24,29/12/2022
20.00,29/04/2016
0.02,01/12/2018
23.78,13/12/2019
15.78,24/04/2016
10.76,05/11/2021
8.00,10/09/2021
93.16,12/07/2019
0.00,24/03/2017
2.28,04/12/2017
28.00,30/04/2019
"4,733.93",23/02/2016
50.92,24/11/2017
10.40,15/01/2020
4.00,08/03/2016
19.20,28/09/2017
95.00,15/12/2022
9.02,31/07/2015
1.22,15/03/2017
8.46,20/12/2021
11.49,28/12/2017
11.25,30/12/2020
"1,514.60",22/05/2022
13.84,01/11/2018
136.70,01/08/2018
19.60,21/08/2015
0.03,22/12/2016
35.13,20/01/2017
5.64,26/04/2017
5.94,31/12/2016
147.67,07/04/2020
216.60,03/11/2020
6.00,23/12/2022
55.64,07/11/2017
0.19,31/03/2022
5.58,29/01/2016
2.56,05/09/2019
0.40,31/12/2015
24.20,01/02/2022
3.08,09/08/2021
47.34,28/10/2020
173.00,26/02/2016
0.01,28/01/2021
40.00,01/08/2018
58.79,31/12/2015
1.38,24/08/2015
7.00,09/06/2017
28.00,01/07/2019
8.63,04/03/2015
4.40,18/07/2016
20.88,23/08/2022
1.40,31/12/2016
"2,120.98",26/08/2021
11.91,11/12/2020
0.00,22/01/2015
2.50,06/06/2015
9.96,08/05/2015
6.00,30/09/2015
3.20,23/12/2021
10.00,25/03/2019
2.19,21/10/2019
353.06,31/10/2016
29.16,29/04/2022
1.15,29/07/2022
90.45,25/04/2017
0.41,02/03/2015
646.96,31/01/2017
19.50,08/07/2016
0.02,11/08/2016
20.85,29/12/2016
22.99,02/12/2015
250.00,05/12/2017
7.37,30/11/2017
1.77,04/12/2015
406.47,01/11/2018
4.00,05/01/2015
2.45,01/01/2017
0.32,31/05/2017
0.60,30/06/2017
0.71,15/04/2015
15.60,25/06/2020
3.32,09/03/2021
0.00,08/02/2022
0.35,02/06/2017
42.05,31/05/2022
8.21,12/08/2020
85.82,29/01/2021
0.13,28/01/2020
10.00,09/08/2018
0.07,31/03/2021
0.03,15/07/2015
0.12,18/10/2017
39.13,01/01/2019
1.01,10/04/2017
202.19,31/03/2022
0.05,01/09/2017
28.25,25/10/2019
11.32,31/07/2021
265.00,31/07/2019
150.35,14/12/2018
0.00,06/01/2020
2.10,10/03/2022
0.96,29/07/2019
130.00,28/11/2017
2.38,06/10/2020
1.35,30/09/2022
7.48,21/11/2016
0.01,13/02/2015
0.08,29/06/2017
994.21,21/05/2015
"1,350.00",07/07/2017
1.26,19/09/2022
79.00,31/01/2015
3.00,19/02/2015
2.69,02/05/2016
0.16,30/09/2017
0.85,02/03/2016
7.66,13/05/2019
14.78,12/07/2017
27.43,13/04/2021
46.00,13/07/2022
483.49,30/12/2020
4.05,11/04/2019
158.64,28/09/2015
0.27,25/01/2019
38.94,08/05/2015
36.85,30/11/2020
0.26,25/08/2021
0.36,01/09/2016
3.83,05/10/2016
3.00,23/09/2019
27.00,29/01/2016
11.00,22/06/2021
0.46,30/06/2016
2.99,06/03/2016
5.80,24/03/2016
157.26,30/06/2019
1.76,01/01/2017
79.82,26/09/2017
1.79,08/11/2022
67.74,13/05/2019
6.63,06/05/2015
4.60,28/01/2021
0.04,31/05/2019
3.14,29/10/2015
7.13,25/03/2015
73.38,28/12/2015
3.52,19/04/2017
2.73,01/09/2017
3.30,08/12/2017
7.60,10/10/2015
23.23,31/03/2019
36.81,12/12/2017
22.90,01/06/2016
0.08,30/03/2015
168.75,01/03/2016
134.40,01/03/2016
549.49,29/09/2016
338.43,08/03/2017
198.71,13/10/2017
48.71,28/11/2017
640.00,10/02/2021
0.25,03/04/2018
2.75,27/12/2021
0.17,30/09/2017
0.74,21/10/2019
27.54,24/02/2022
0.03,23/09/2019
0.01,27/04/2018
0.01,25/07/2019
16.22,01/04/2015
122.03,30/06/2015
0.17,07/12/2015
19.95,15/07/2015
0.77,14/02/2019
2.96,29/06/2017
2.80,30/06/2018
51.31,07/09/2016
0.51,15/06/2017
10.10,15/06/2022
0.05,27/01/2017
900.00,10/12/2021
217.24,15/05/2017
410.00,09/12/2016
246.48,06/10/2022
0.18,24/01/2022
1.00,29/03/2021
1.01,18/03/2022
790.96,01/11/2016
9.02,01/06/2016
0.85,08/01/2018
1.08,09/03/2018
24.31,23/11/2017
0.03,26/12/2018
1.90,03/11/2020
237.22,09/03/2020
0.25,31/07/2018
18.95,21/05/2021
61.83,29/12/2017
252.39,20/08/2015
1.84,01/01/2020
0.06,27/01/2020
0.01,22/01/2020
"5,200.00",29/05/2015
9.03,25/12/2017
20.00,12/11/2020
7.80,03/03/2015
8.65,26/01/2018
0.04,15/11/2017
81.00,04/04/2019
29.00,01/06/2017
0.98,07/09/2021
7.51,10/10/2017
1.02,16/08/2021
NA,26/03/2018
0.46,07/04/2021
8.40,02/07/2015
0.29,15/12/2021
1.47,13/06/2019
20.49,07/01/2020
2.33,18/09/2016
36.38,30/08/2018
20.78,12/11/2015
7.78,15/07/2016
13.71,19/08/2016
2.23,04/02/2015
6.31,03/05/2016
0.94,30/09/2022
0.08,05/05/2015
47.57,30/11/2017
4.92,15/03/2017
0.14,16/12/2016
13.21,21/05/2021
0.04,30/06/2019
1.24,30/06/2019
41.15,30/08/2018
5.39,11/05/2022
52.69,26/09/2019
18.39,11/11/2019
0.12,30/09/2015
0.82,31/08/2016
19.43,03/03/2020
1.99,08/11/2021
37.45,12/09/2019
12.88,17/02/2020
13.91,21/12/2017
39.82,31/12/2020
3.56,18/05/2020
68.79,16/07/2015
4.92,02/12/2020
35.08,05/03/2018
100.59,29/05/2015
0.16,26/06/2015
16.43,06/03/2018
78.60,24/02/2021
19.58,10/11/2015
5.36,01/01/2019
0.01,13/05/2017
222.10,09/10/2018
6.76,26/09/2019
5.39,30/06/2022
1.02,25/05/2020
584.49,02/03/2018
53.80,18/06/2019
25.53,03/03/2016
151.32,26/10/2022
17.40,21/05/2019
NA,13/10/2022
7.65,16/03/2018
300.37,27/05/2015
35.01,25/12/2017
1.74,31/07/2019
4.96,29/01/2016
6.18,31/05/2015
11.05,17/03/2015
841.80,03/08/2022
30.33,24/04/2020
79.91,09/09/2016
425.00,25/11/2022
23.22,12/02/2018
"1,050.00",02/07/2021
561.00,01/02/2016
19.15,04/06/2015
428.20,01/03/2019
228.18,07/04/2020
319.98,28/06/2016
0.50,03/09/2015
0.08,07/10/2015
12.60,30/11/2015
139.89,31/01/2017
32.00,14/03/2017
0.00,01/12/2019
453.64,07/04/2022
392.03,02/03/2015
22.00,28/04/2017
98.90,18/07/2016
103.74,03/01/2019
107.00,06/10/2022
12.96,28/12/2015
6.21,14/04/2022
41.59,15/01/2020
26.46,25/11/2021
0.93,18/07/2017
"1,036.44",31/05/2022
5.48,26/07/2017
2.92,01/04/2016
0.07,10/07/2017
23.20,01/06/2021
21.00,24/07/2015
74.08,21/10/2021
0.00,30/04/2015
168.70,01/04/2019
543.79,14/02/2020
12.70,16/08/2017
199.37,01/01/2017
32.86,01/09/2017
0.53,30/04/2021
30.60,29/08/2017
36.06,04/05/2016
27.48,31/03/2017
0.92,22/06/2016
0.28,22/09/2015
0.13,22/06/2016
3.40,11/02/2015
40.72,10/01/2019
40.17,08/01/2016
144.27,12/07/2017
4.70,01/12/2015
306.54,31/10/2021
7.41,22/02/2021
0.72,29/01/2020
0.34,30/06/2020
186.59,31/05/2015
24.75,15/07/2016
184.13,13/01/2017
8.95,11/11/2022
1.91,17/08/2018
148.85,06/12/2022
0.08,31/12/2020
"1,001.06",21/09/2021
18.14,31/12/2020
4.50,08/03/2016
0.48,03/06/2021
456.49,31/12/2017
5.55,24/12/2021
2.00,05/07/2018
19.80,01/05/2019
0.00,30/01/2015
0.00,25/03/2015
0.00,30/09/2015
3.49,13/12/2018
11.42,13/12/2018
25.62,13/10/2017
2.06,11/03/2016
30.70,04/08/2021
452.50,21/12/2015
8.29,14/12/2015
20.21,09/07/2015
52.19,30/04/2015
7.68,18/12/2015
245.80,31/03/2015
22.12,17/01/2015
0.05,20/07/2016
836.66,29/12/2020
988.44,14/07/2021
14.91,10/10/2016
42.85,29/12/2019
58.78,14/03/2019
1.67,03/10/2022
30.80,17/05/2018
42.91,01/07/2021
107.00,01/08/2018
146.12,08/10/2021
4.20,04/11/2019
71.50,28/05/2015
40.00,30/11/2016
9.60,01/02/2022
"1,092.41",02/06/2021
447.60,18/08/2016
12.66,08/06/2021
425.25,31/10/2019
2.61,14/10/2015
25.92,17/03/2022
191.60,30/09/2020
9.18,11/09/2020
3.06,30/12/2020
6.82,03/10/2022
0.07,07/06/2018
126.19,26/03/2018
NA,05/06/2020
8.33,28/10/2021
11.28,30/11/2015
92.33,18/01/2018
66.39,17/05/2021
22.78,24/11/2016
23.22,24/11/2016
0.00,23/11/2018
464.15,01/06/2021
63.00,22/02/2019
1.75,01/09/2016
4.54,26/02/2015
0.02,24/03/2018
192.29,12/12/2022
1.18,30/09/2020
0.90,30/09/2015
14.30,02/02/2016
3.00,31/12/2017
1.00,24/04/2015
2.25,03/02/2015
1.32,29/02/2016
0.32,10/03/2017
1.25,26/10/2015
1.96,26/04/2018
4.40,28/01/2019
2.75,07/03/2016
26.19,10/04/2019
0.01,01/11/2020
114.00,30/06/2020
11.00,30/09/2016
287.26,01/04/2019
6.10,08/01/2015
0.01,23/05/2016
3.66,21/12/2020
17.37,23/12/2020
0.71,06/08/2015
4.64,28/05/2019
152.07,26/03/2018
200.00,25/04/2017
15.20,06/12/2020
79.00,29/07/2016
17.30,08/10/2015
1.20,12/04/2018
53.60,13/04/2018
23.80,02/02/2018
16.33,01/10/2021
8.01,01/06/2018
12.14,04/05/2018
0.07,31/03/2021
13.84,02/10/2019
85.87,31/03/2015
NA,13/09/2021
20.00,16/10/2018
5.67,28/10/2016
16.90,28/01/2017
1.24,14/06/2015
4.15,19/08/2017
0.90,17/04/2015
34.36,03/04/2018
4.60,31/12/2018
33.34,01/05/2019
0.34,14/06/2018
1.14,14/06/2018
0.35,24/09/2018
100.00,02/04/2018
11.17,15/12/2022
1.77,27/05/2020
